Fair Market Rent,Price,County,State
1177,1177,Milford-Ansonia-Seymour, CT HUD Metro FMR Area
948,948,Waterbury, CT HUD Metro FMR Area
976,976,Norwich-New London, CT HUD Metro FMR Area
1007,1007,Colchester-Lebanon, CT HUD Metro FMR Area
818,818,Windham County, CT HUD Metro FMR Area
1548,1548,Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area
732,732,Sussex County, DE HUD Metro FMR Area
908,908,Dover, DE MSA
652,652,Bradford County, FL
659,659,Columbia County, FL
625,625,DeSoto County, FL
644,644,Dixie County, FL
661,661,Franklin County, FL
565,565,Hamilton County, FL
644,644,Calhoun County, FL
675,675,Glades County, FL
569,569,Hardee County, FL
644,644,Hendry County, FL
557,557,Holmes County, FL
621,621,Jackson County, FL
702,702,Lafayette County, FL
557,557,Levy County, FL
644,644,Liberty County, FL
641,641,Madison County, FL
1344,1344,Monroe County, FL
649,649,Okeechobee County, FL
627,627,Putnam County, FL
644,644,Suwannee County, FL
644,644,Taylor County, FL
644,644,Union County, FL
557,557,Washington County, FL
983,983,Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area
847,847,Walton County, FL HUD Metro FMR Area
856,856,Deltona-Daytona Beach-Ormond Beach, FL HUD Metro FMR Area
854,854,Palm Coast, FL HUD Metro FMR Area
921,921,Jacksonville, FL HUD Metro FMR Area
599,599,Baker County, FL HUD Metro FMR Area
1198,1198,Fort Lauderdale, FL HUD Metro FMR Area
1231,1231,Miami-Miami Beach-Kendall, FL HUD Metro FMR Area
1180,1180,West Palm Beach-Boca Raton, FL HUD Metro FMR Area
933,933,Panama City-Lynn Haven-Panama City Beach, FL HUD Metro FMR Area
764,764,Gulf County, FL HUD Metro FMR Area
843,843,Tallahassee, FL HUD Metro FMR Area
738,738,Wakulla County, FL HUD Metro FMR Area
951,951,Cape Coral-Fort Myers, FL MSA
679,679,Homosassa Springs, FL MSA
897,897,Gainesville, FL MSA
799,799,Lakeland-Winter Haven, FL MSA
1118,1118,Naples-Immokalee-Marco Island, FL MSA
866,866,Punta Gorda, FL MSA
992,992,North Port-Sarasota-Bradenton, FL MSA
932,932,Port St. Lucie, FL MSA
718,718,The Villages, FL MSA
757,757,Ocala, FL MSA
1140,1140,Orlando-Kissimmee-Sanford, FL MSA
921,921,Palm Bay-Melbourne-Titusville, FL MSA
840,840,Pensacola-Ferry Pass-Brent, FL MSA
881,881,Sebastian-Vero Beach, FL MSA
661,661,Sebring, FL MSA
1040,1040,Tampa-St. Petersburg-Clearwater, FL MSA
510,510,Treutlen County, GA
602,602,Troup County, GA
510,510,Turner County, GA
510,510,Union County, GA
492,492,Warren County, GA
568,568,Washington County, GA
568,568,Dooly County, GA
568,568,Early County, GA
492,492,Elbert County, GA
492,492,Emanuel County, GA
510,510,Appling County, GA
492,492,Atkinson County, GA
568,568,Bacon County, GA
612,612,Baldwin County, GA
596,596,Banks County, GA
548,548,Ben Hill County, GA
497,497,Berrien County, GA
510,510,Bleckley County, GA
604,604,Bulloch County, GA
492,492,Calhoun County, GA
683,683,Camden County, GA
510,510,Candler County, GA
568,568,Charlton County, GA
492,492,Chattooga County, GA
510,510,Taliaferro County, GA
515,515,Taylor County, GA
492,492,Randolph County, GA
492,492,Schley County, GA
492,492,Stephens County, GA
492,492,Stewart County, GA
530,530,Hart County, GA
510,510,Irwin County, GA
492,492,Evans County, GA
598,598,Fannin County, GA
565,565,Gilmer County, GA
547,547,Gordon County, GA
519,519,Macon County, GA
613,613,Miller County, GA
568,568,Mitchell County, GA
510,510,Jeff Davis County, GA
492,492,Jefferson County, GA
510,510,Jenkins County, GA
529,529,Laurens County, GA
640,640,Lumpkin County, GA
492,492,Screven County, GA
526,526,Cook County, GA
532,532,Sumter County, GA
568,568,Montgomery County, GA
546,546,Pierce County, GA
546,546,Polk County, GA
675,675,Putnam County, GA
510,510,Quitman County, GA
524,524,Rabun County, GA
561,561,Seminole County, GA
507,507,Decatur County, GA
492,492,Dodge County, GA
579,579,Jackson County, GA
563,563,Franklin County, GA
509,509,Grady County, GA
542,542,Greene County, GA
529,529,Habersham County, GA
510,510,Hancock County, GA
515,515,Talbot County, GA
568,568,Tattnall County, GA
510,510,Telfair County, GA
597,597,Thomas County, GA
511,511,Tift County, GA
584,584,White County, GA
568,568,Johnson County, GA
568,568,Glascock County, GA
493,493,Wilkinson County, GA
492,492,Wayne County, GA
510,510,Webster County, GA
510,510,Wheeler County, GA
511,511,Wilkes County, GA
492,492,Toombs County, GA
587,587,Towns County, GA
568,568,Crisp County, GA
510,510,Wilcox County, GA
509,509,Upson County, GA
495,495,Ware County, GA
568,568,Coffee County, GA
519,519,Colquitt County, GA
510,510,Clay County, GA
510,510,Clinch County, GA
1040,1040,Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area
657,657,Butts County, GA HUD Metro FMR Area
657,657,Haralson County, GA HUD Metro FMR Area
652,652,Lamar County, GA HUD Metro FMR Area
609,609,Meriwether County, GA HUD Metro FMR Area
726,726,Morgan County, GA HUD Metro FMR Area
587,587,Lincoln County, GA HUD Metro FMR Area
607,607,Dalton, GA HUD Metro FMR Area
555,555,Murray County, GA HUD Metro FMR Area
831,831,Hinesville, GA HUD Metro FMR Area
586,586,Long County, GA HUD Metro FMR Area
689,689,Macon, GA HUD Metro FMR Area
623,623,Monroe County, GA HUD Metro FMR Area
786,786,Warner Robins, GA HUD Metro FMR Area
556,556,Peach County, GA HUD Metro FMR Area
568,568,Pulaski County, GA HUD Metro FMR Area
699,699,Athens-Clarke County, GA MSA
645,645,Albany, GA MSA
684,684,Brunswick, GA MSA
834,834,Gainesville, GA MSA
627,627,Rome, GA MSA
591,591,Valdosta, GA MSA
921,921,Savannah, GA MSA
717,717,Columbus, GA-AL MSA
708,708,Augusta-Richmond County, GA-SC HUD Metro FMR Area
1115,1115,Hawaii County, HI
1519,1519,Kauai County, HI
1408,1408,Kahului-Wailuku-Lahaina, HI MSA
1577,1577,Urban Honolulu, HI MSA
570,570,Monroe County, IA
543,543,Montgomery County, IA
692,692,Muscatine County, IA
543,543,O'Brien County, IA
543,543,Osceola County, IA
543,543,Page County, IA
543,543,Palo Alto County, IA
543,543,Pocahontas County, IA
589,589,Poweshiek County, IA
543,543,Ringgold County, IA
551,551,Sac County, IA
543,543,Shelby County, IA
550,550,Sioux County, IA
550,550,Tama County, IA
543,543,Emmet County, IA
543,543,Fayette County, IA
564,564,Floyd County, IA
543,543,Franklin County, IA
543,543,Allamakee County, IA
543,543,Appanoose County, IA
543,543,Audubon County, IA
626,626,Boone County, IA
585,585,Buchanan County, IA
561,561,Buena Vista County, IA
548,548,Butler County, IA
548,548,Clay County, IA
544,544,Clayton County, IA
590,590,Clinton County, IA
562,562,Crawford County, IA
543,543,Taylor County, IA
610,610,Union County, IA
627,627,Van Buren County, IA
576,576,Wapello County, IA
543,543,Lyon County, IA
561,561,Mahaska County, IA
627,627,Marion County, IA
610,610,Marshall County, IA
543,543,Mitchell County, IA
543,543,Monona County, IA
543,543,Wayne County, IA
543,543,Webster County, IA
543,543,Winnebago County, IA
543,543,Winneshiek County, IA
604,604,Worth County, IA
543,543,Wright County, IA
578,578,Hamilton County, IA
571,571,Hancock County, IA
543,543,Hardin County, IA
630,630,Henry County, IA
627,627,Howard County, IA
543,543,Humboldt County, IA
543,543,Ida County, IA
566,566,Iowa County, IA
564,564,Jackson County, IA
583,583,Jasper County, IA
571,571,Jefferson County, IA
562,562,Keokuk County, IA
543,543,Kossuth County, IA
543,543,Fremont County, IA
606,606,Davis County, IA
543,543,Decatur County, IA
543,543,Delaware County, IA
653,653,Des Moines County, IA
602,602,Dickinson County, IA
543,543,Greene County, IA
543,543,Adair County, IA
555,555,Adams County, IA
627,627,Calhoun County, IA
543,543,Carroll County, IA
625,625,Cass County, IA
601,601,Cedar County, IA
588,588,Cerro Gordo County, IA
574,574,Cherokee County, IA
596,596,Chickasaw County, IA
595,595,Clarke County, IA
564,564,Lee County, IA
554,554,Louisa County, IA
635,635,Lucas County, IA
602,602,Cedar Rapids, IA HUD Metro FMR Area
545,545,Benton County, IA HUD Metro FMR Area
543,543,Jones County, IA HUD Metro FMR Area
803,803,Iowa City, IA HUD Metro FMR Area
621,621,Washington County, IA HUD Metro FMR Area
592,592,Plymouth County, IA HUD Metro FMR Area
578,578,Bremer County, IA HUD Metro FMR Area
670,670,Waterloo-Cedar Falls, IA HUD Metro FMR Area
752,752,Ames, IA MSA
612,612,Dubuque, IA MSA
738,738,Des Moines-West Des Moines, IA MSA
626,626,Davenport-Moline-Rock Island, IA-IL MSA
631,631,Sioux City, IA-NE-SD HUD Metro FMR Area
572,572,Adams County, ID
557,557,Bear Lake County, ID
607,607,Payette County, ID
564,564,Cassia County, ID
604,604,Clark County, ID
607,607,Clearwater County, ID
577,577,Custer County, ID
657,657,Elmore County, ID
629,629,Fremont County, ID
590,590,Idaho County, ID
808,808,Blaine County, ID
646,646,Bonner County, ID
618,618,Power County, ID
576,576,Shoshone County, ID
,,Jerome County, ID
628,628,Latah County, ID
702,702,Madison County, ID
603,603,Minidoka County, ID
716,716,Teton County, ID
,,Twin Falls County, ID
606,606,Valley County, ID
565,565,Washington County, ID
571,571,Bingham County, ID
557,557,Boundary County, ID
564,564,Camas County, ID
557,557,Caribou County, ID
606,606,Lemhi County, ID
616,616,Lewis County, ID
634,634,Lincoln County, ID
628,628,Benewah County, ID
572,572,Gooding County, ID
648,648,Oneida County, ID
801,801,Boise City, ID HUD Metro FMR Area
718,718,Gem County, ID HUD Metro FMR Area
670,670,Idaho Falls, ID HUD Metro FMR Area
599,599,Butte County, ID HUD Metro FMR Area
755,755,Coeur d'Alene, ID MSA
593,593,Pocatello, ID MSA
672,672,Lewiston, ID-WA MSA
545,545,Logan County, IL
575,575,McDonough County, IL
557,557,Marion County, IL
542,542,Mason County, IL
